9,17,8263
8,22,6697
5,6,6056
6,25,5935
27,28,5695
6,8,4629
4,23,4278
4,19,4274
6,18,4140
4,22,4105
6,11,4039
6,19,3842
9,19,3346
8,26,3337
9,23,3305
9,11,2819
8,9,2507
6,17,2277
8,23,2149
7,10,2088
3,6,2086
2,8,1999
6,10,1816
8,19,1629
3,4,1553
8,11,1530
8,18,1527
8,17,1432
1,6,1419
4,9,1384
16,17,1302
0,25,1280
4,16,990
4,29,973
1,17,896
2,6,854
8,24,815
2,24,769
6,22,720
8,15,703
4,17,682
8,21,614
16,26,589
2,18,550
9,22,533
6,23,520
4,8,493
2,3,466
6,9,450
17,18,448
0,6,444
6,14,413
1,8,403
6,15,398
3,16,392
15,24,388
1,29,378
10,18,362
0,27,359
5,18,354
9,16,328
2,4,325
4,6,290
3,5,286
7,14,280
1,18,232
21,27,220
3,11,202
1,15,195
4,27,193
14,15,182
15,19,181
8,14,176
0,5,152
21,25,130
3,25,90
3,27,82
14,21,75
8,27,68
3,8,62
3,18,56
26,27,43
3,22,30
3,19,26
